区域,房源维护时间,房源编号,租赁方式,房屋类型厅室,房屋类型面积,房屋类型精装修,经纪人,面积,朝向,维护,入住,楼层,电梯,车位,用水,用电,燃气,采暖,租期,看房,付款方式,租金,押金,服务费,中介费
房山 良乡 房山超级蜂巢,2020/4/22,BJ2499003139894812672,整租,1室1厅1卫,73㎡,精装修,罗文静,73㎡,西,今天,随时入住,高楼层/3层,有,租用车位,暂无数据,商电,有,集中供暖,2年以内,需提前预约,季付,2600,2600,0,2600
海淀 海淀北部新区 北京地球站院内西宿舍楼,2020/4/14,BJ2496422195849330688,整租,2室1厅1卫,59㎡,精装修,,59㎡,东 南 北,8天前,2020/5/20,高楼层/2层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,3年以内,需提前预约,需咨询,3500,3500,0,3500
顺义 顺义城 仓上小区,2020/4/17,BJ2497764045772562432,整租,2室1厅1卫,60㎡,#,李国强,60㎡,南 北,5天前,随时入住,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,2年以内,需提前预约,季付,3000,3000,0,3000
亦庄开发区 马驹桥 新海南里,2020/4/19,BJ2497727066733559808,整租,1室1厅1卫,67㎡,#,张硕,67㎡,南 北,3天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3200,3200,0,3200
顺义 顺义其它 浅山香邑,2020/4/13,BJ2497811020668469248,整租,2室1厅1卫,88㎡,#,仝鑫,88㎡,南 北,9天前,随时入住,高楼层/12层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,2400,2400,0,2400
朝阳 东坝 康静里,2020/4/20,BJ2498562714402553856,整租,2室1厅1卫,60㎡,#,尹秋英,60㎡,南 北,2天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,4100,4100,0,4100
丰台 新宫 天骄俊园8号院,2020/4/13,BJ2497792272205357056,整租,1室1厅1卫,57㎡,#,张云,57㎡,南,9天前,随时入住,低楼层/13层,有,暂无数据,民水,民电,有,自采暖,1年以内,需提前预约,需咨询,3500,3500,0,3500
西城 广安门 熔炼厂宿舍,2020/4/19,BJ2500478033727586304,整租,1室1厅1卫,48㎡,精装修,张悦,48㎡,南,3天前,随时入住,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,2年以内,需提前预约,季付,4400,4400,0,4400
朝阳 豆各庄 朝丰家园,2020/4/20,BJ2498536868237549568,整租,2室1厅1卫,74㎡,精装修,于洋,74㎡,南 北,2天前,随时入住,低楼层/13层,有,暂无数据,民水,民电,有,自采暖,2年以内,需提前预约,季付,4600,4600,0,4600
朝阳 东坝 红松园小区,2020/4/20,BJ2499885473573912576,整租,3室1厅1卫,68㎡,#,张陵,68㎡,南 北,2天前,2020/5/5,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,需咨询,5000,5000,0,5000
房山 良乡 明源北里,2020/4/17,BJ2499030265523863552,整租,3室1厅1卫,88㎡,#,鲁博宇,88㎡,南 北,5天前,随时入住,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,1年以内,需提前预约,季付,2200,2200,0,2200
东城 永定门 华龙美晟,2020/4/16,BJ2499388419583778816,整租,1室1厅1卫,45㎡,精装修,于士峰,45㎡,南,6天前,随时入住,高楼层/12层,有,暂无数据,民水,民电,有,自采暖,3年以内,需提前预约,需咨询,5200,5200,0,5200
朝阳 双桥 远洋一方润园6号院,2020/4/18,BJ2499819992024367104,整租,1室1厅1卫,55㎡,精装修,伊聪颖,55㎡,南,4天前,2020/5/4,中楼层/15层,有,租用车位,民水,民电,有,集中供暖,2年以内,需提前预约,季付,4100,4100,0,4100
石景山 苹果园 模式口西里,2020/4/16,BJ2499924496664756224,整租,2室1厅1卫,64㎡,#,王书新,64㎡,南,6天前,随时入住,低楼层/14层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3600,3600,0,3600
西城 右安门内 右安门内西街甲2号院,2020/4/21,BJ2497888433134116864,整租,1室1厅1卫,42㎡,#,王淼,42㎡,南,1天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,4800,4800,0,4800
朝阳 双桥 远洋一方润园6号院,2020/4/21,BJ2497674567410532352,整租,2室1厅1卫,75㎡,精装修,伊聪颖,75㎡,东 西,1天前,2020/5/19,低楼层/15层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,需咨询,5000,5000,0,5000
朝阳 定福庄 五建小区,2020/4/15,BJ2499320794761936896,整租,1室1厅1卫,44㎡,#,王嘉斌,44㎡,南,7天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,一般下班后可看,需咨询,3950,3950,0,3950
顺义 顺义城 建新南区,2020/4/14,BJ2499160159377965056,整租,2室1厅1卫,52㎡,#,张晓敏,52㎡,西 北,8天前,2020/4/30,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,2900,2900,0,2900
门头沟 城子 桥东街小区,2020/4/21,BJ2499774805562368000,整租,1室1厅1卫,45㎡,#,陈丽伟,45㎡,南,1天前,2020/4/30,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以上,需提前预约,季付,2500,2500,0,2500
朝阳 东坝 东泽园,2020/4/15,BJ2499849652011548672,整租,2室1厅1卫,75㎡,#,代晓燕,75㎡,南,7天前,随时入住,中楼层/21层,有,暂无数据,民水,民电,有,自采暖,暂无数据,需提前预约,需咨询,4900,4900,0,4900
顺义 李桥 馨港庄园三区,2020/4/15,BJ2496200482499346432,整租,2室2厅1卫,87㎡,#,林上海,87㎡,南 北,7天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3000,3000,0,3000
昌平 小汤山 土沟新村,2020/4/9,BJ2496163580936716288,整租,1室1厅1卫,54㎡,精装修,,54㎡,南 北,13天前,随时入住,高楼层/5层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,3年以内,需提前预约,季付,2500,2500,0,2500
大兴 大兴其它 联港嘉园A区,2020/4/9,BJ2496173030921732096,整租,2室1厅1卫,87㎡,#,葛佳星,87㎡,南,13天前,随时入住,低楼层/6层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3000,3000,0,3000
顺义 顺义城 裕龙四区,2020/4/11,BJ2496972593433944064,整租,2室1厅1卫,72㎡,#,刘杨,72㎡,南 北,11天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3100,3100,0,3100
丰台 青塔 张仪村4号院,2020/4/19,BJ2496117957722112000,整租,1室1厅1卫,61㎡,#,杨星,61㎡,南 北,3天前,随时入住,低楼层/6层,无,免费使用,民水,民电,有,集中供暖,3年以内,需提前预约,季付,3500,3500,0,3500
朝阳 十里河 吕营嘉园C区,2020/4/18,BJ2496891024715022336,整租,1室1厅1卫,60㎡,#,郭小磊,60㎡,南 北,4天前,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,自采暖,1年以内,需提前预约,季付,4300,4300,0,4300
顺义 顺义城 石园东苑,2020/4/22,BJ2500593998247501824,整租,1室1厅1卫,73㎡,#,刘杨,73㎡,南 北,今天,2020/4/30,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,2900,2900,0,2900
顺义 李桥 樱花园三区,2020/4/22,BJ2500484356607582208,整租,1室1厅1卫,66㎡,#,覃建鹏,66㎡,南 北,今天,2020/4/30,中楼层/6层,无,免费使用,民水,民电,有,集中供暖,1年以内,需提前预约,季付,3000,3000,0,3000
东城 东四 九道湾北巷,2020/4/20,BJ2499780242840240128,整租,2室1厅1卫,35㎡,#,郭彦斌,35㎡,南,2天前,2020/5/5,低楼层/1层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,3年以上,需提前预约,季付,4500,4500,0,4500
顺义 顺义城 石园西区,2020/4/15,BJ2499260190801797120,整租,2室1厅1卫,69㎡,精装修,秦冬梅,69㎡,南 北,7天前,随时入住,中楼层/6层,无,免费使用,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,3100,3100,0,3100
顺义 顺义城 石园西区,2020/4/16,BJ2500550561917566976,整租,1室1厅1卫,59㎡,#,米雅欣,59㎡,南 北,6天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,2800,2800,0,2800
顺义 马坡 马坡花园二区,2020/4/16,BJ2500091315056803840,整租,2室1厅1卫,85㎡,#,马从刚,85㎡,南 北,6天前,随时入住,中楼层/5层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3000,3000,0,3000
顺义 顺义城 交通局家属楼,2020/4/15,BJ2497678933806555136,整租,2室1厅1卫,57㎡,#,吕杰,57㎡,东 西,7天前,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,3100,3100,0,3100
东城 崇文门 兴隆都市馨园,2020/4/22,BJ2497808691630448640,整租,1室0厅1卫,29㎡,精装修,史思雨,29㎡,东,今天,随时入住,中楼层/7层,有,暂无数据,民水,民电,无,集中供暖,暂无数据,需提前预约,需咨询,4000,4000,0,4000
东城 广渠门 东方财富,2020/4/22,BJ2497540508327886848,整租,1室0厅1卫,45㎡,#,于春龙,45㎡,东,今天,2020/5/4,中楼层/15层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,5500,5500,0,5500
房山 良乡 四合巷小区,2020/4/19,BJ2499943202992431104,整租,2室1厅1卫,65㎡,#,崔延峰,65㎡,南 北,3天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,2500,2500,0,2500
朝阳 管庄 烟厂宿舍,2020/4/16,BJ2497721051010564096,整租,2室1厅1卫,66㎡,#,庄天浩,66㎡,南 北,6天前,随时入住,中楼层/7层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,4800,4800,0,4800
顺义 顺义城 滨河小区,2020/4/15,BJ2500596787770310656,整租,2室1厅1卫,73㎡,#,王云,73㎡,南 北,7天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3000,3000,0,3000
顺义 顺义城 滨河小区,2020/4/18,BJ2499217514144202752,整租,1室1厅1卫,60㎡,#,刘秀莲,60㎡,南 北,4天前,随时入住,高楼层/6层,无,免费使用,民水,民电,有,集中供暖,2年以内,需提前预约,季付,2800,2800,0,2800
朝阳 潘家园 松榆西里,2020/4/15,BJ2499055463862378496,整租,2室1厅1卫,47㎡,精装修,杨懿,47㎡,西,7天前,2020/4/30,高楼层/20层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,5200,5200,0,5200
大兴 天宫院南 隆盛园,2020/4/16,BJ2496273629265281024,整租,3室2厅2卫,108㎡,#,张浩,108㎡,南 北,6天前,随时入住,高楼层/6层,无,租用车位,民水,民电,有,集中供暖,2年以内,需提前预约,季付,2500,2500,0,2500
顺义 李桥 馨港庄园三区,2020/4/15,BJ2497085303735451648,整租,2室1厅1卫,63㎡,#,王楠楠,63㎡,南 北,7天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3000,3000,0,3000
昌平 北七家 温泉花园A区,2020/4/22,BJ2497164307863699456,整租,2室1厅1卫,64㎡,#,张帅鑫,64㎡,南 北,今天,随时入住,中楼层/5层,无,免费使用,民水,民电,有,集中供暖,3年以内,需提前预约,季付,2800,2800,0,2800
朝阳 潘家园 松榆西里,2020/4/15,BJ2499996459143790592,整租,2室0厅1卫,59㎡,#,李祜,59㎡,南,7天前,随时入住,低楼层/18层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,5000,5000,0,5000
朝阳 潘家园 弘善家园,2020/4/22,BJ2499094333115080704,整租,1室0厅1卫,43㎡,#,谢佳佳,43㎡,南,今天,随时入住,高楼层/28层,有,暂无数据,民水,民电,有,自采暖,2年以内,需提前预约,季付,4600,4600,0,4600
石景山 苹果园 铸造村,2020/4/22,BJ2500031834801307648,整租,1室1厅1卫,69㎡,#,王欢,69㎡,南,今天,随时入住,低楼层/16层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,3700,3700,0,3700
朝阳 定福庄 金星小区,2020/4/15,BJ2500474519857135616,整租,2室1厅1卫,52㎡,精装修,江雪,52㎡,南 北,7天前,随时入住,中楼层/5层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,4900,4900,0,4900
朝阳 定福庄 金星小区,2020/4/10,BJ2497010471907885056,整租,2室1厅1卫,57㎡,#,韩璐瑶,57㎡,南 北,12天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,4800,4800,0,4800
东城 安定门 青年湖东里,2020/4/14,BJ2497131489230602240,整租,1室1厅1卫,62㎡,#,侯锐,62㎡,南,8天前,随时入住,地下室/6层,无,暂无数据,民水,民电,有,集中供暖,3年以上,需提前预约,需咨询,4600,4600,0,4600
东城 安定门 安德路55号院,2020/4/12,BJ2497018954820886528,整租,1室1厅1卫,64㎡,精装修,孟岩,64㎡,北,10天前,随时入住,高楼层/4层,无,暂无数据,暂无数据,暂无数据,有,集中供暖,1年以内,需提前预约,需咨询,5000,5000,0,5000
朝阳 双桥 金隅康惠园3号院,2020/4/10,BJ2496190021745786880,整租,2室1厅1卫,80㎡,#,邱雪敬,80㎡,南 北,12天前,随时入住,中楼层/20层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,需咨询,5000,5000,0,5000
朝阳 潘家园 华威西里,2020/4/12,BJ2497137590122323968,整租,1室1厅1卫,36㎡,#,段帅奇,36㎡,南,10天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,只能周末看房,需咨询,5000,5000,0,5000
房山 良乡 房山超级蜂巢,2020/4/15,BJ2496221539742261248,整租,2房间1卫,40㎡,#,周祎平,40㎡,南,7天前,随时入住,低楼层/10层,有,暂无数据,商水,商电,无,集中供暖,暂无数据,需提前预约,需咨询,2300,2300,0,2300
海淀 海淀北部新区 北分厂,2020/4/15,BJ2497038083917627392,整租,2室1厅1卫,54㎡,#,赵长鹏,54㎡,南 北,7天前,2020/4/30,低楼层/6层,无,暂无数据,民水,民电,无,集中供暖,1年以内,需提前预约,需咨询,4300,4300,0,4300
西城 牛街 平原里小区,2020/4/18,BJ2496310725199806464,整租,1室1厅1卫,54㎡,#,逯志峰,54㎡,南 北,4天前,随时入住,地下室/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,4800,4800,0,4800
朝阳 十八里店 鸿博家园一期B区,2020/4/17,BJ2496872457839837184,整租,2室1厅1卫,85㎡,#,李旭霞,85㎡,南 北,5天前,随时入住,高楼层/5层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,需咨询,4700,4700,0,4700
朝阳 甘露园 康家园,2020/4/17,BJ2496381218086993920,整租,1室1厅1卫,43㎡,#,郭兄,43㎡,南,5天前,2020/4/30,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,4700,4700,0,4700
朝阳 管庄 管庄东里,2020/4/17,BJ2496995674286473216,整租,2室1厅1卫,73㎡,精装修,张雪,73㎡,南 北,5天前,随时入住,中楼层/6层,无,租用车位,民水,民电,有,集中供暖,3年以上,需提前预约,季付,4600,4600,0,4600
丰台 和义 东高地,2020/4/18,BJ2496922175291006976,整租,2室1厅1卫,56㎡,#,李蛹清,56㎡,南,4天前,2020/5/10,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3600,3600,0,3600
朝阳 红庙 呼家楼新街大院,2020/4/18,BJ2496316035355901952,整租,1室1厅1卫,45㎡,#,尹源健,45㎡,南,4天前,随时入住,低楼层/18层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,需咨询,5000,5000,0,5000
朝阳 十八里店 鸿博家园一期B区,2020/4/19,BJ2496273537937965056,整租,2室1厅1卫,81㎡,#,李旭霞,81㎡,南 北,3天前,随时入住,高楼层/8层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,需咨询,4500,4500,0,4500
朝阳 酒仙桥 酒仙桥二街坊,2020/4/21,BJ2496255052927475712,整租,2室1厅1卫,49㎡,#,马海龙,49㎡,东 西,1天前,随时入住,低楼层/5层,无,免费使用,民水,民电,有,集中供暖,3年以内,需提前预约,季付,4700,4700,0,4700
朝阳 常营 柏林爱乐二期,2020/4/21,BJ2494214556520824832,整租,1室1厅1卫,60㎡,#,谢春雨,60㎡,西南,1天前,2020/4/25,低楼层/24层,有,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,5000,5000,0,5000
朝阳 潘家园 松榆西里,2020/4/20,BJ2497070482592382976,整租,1室1厅1卫,47㎡,精装修,林贤城,47㎡,东 西,2天前,随时入住,低楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,4800,4800,0,4800
海淀 马连洼 梅园,2020/4/22,BJ2496240822811631616,整租,1室1厅1卫,50㎡,#,闫斐,50㎡,南,今天,2020/5/1,高楼层/6层,无,租用车位,民水,民电,有,集中供暖,3年以上,需提前预约,季付,4500,4500,0,4500
朝阳 双桥 远洋一方林语苑,2020/4/22,BJ2496155736749375488,整租,1室1厅1卫,66㎡,精装修,安加乐,66㎡,东北,今天,随时入住,低楼层/18层,有,租用车位,民水,民电,有,自采暖,3年以内,需提前预约,季付,4300,4300,0,4300
丰台 旧宫 梅源里小区,2020/4/20,BJ2496168650080796672,整租,2室2厅1卫,69㎡,#,贾浩誉,69㎡,东南,2天前,随时入住,低楼层/6层,有,暂无数据,民水,民电,暂无数据,集中供暖,2年以内,需提前预约,需咨询,3800,3800,0,3800
海淀 定慧寺 恩济里小区,2020/4/22,BJ2496442568909529088,整租,1室1厅1卫,47㎡,#,胡正峰,47㎡,南,今天,2020/4/30,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,4500,4500,0,4500
朝阳 定福庄 绿岛苑东区,2020/4/19,BJ2499214978855747584,整租,2室1厅1卫,61㎡,精装修,魏远航,61㎡,南 北,3天前,随时入住,中楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,5100,5100,0,5100
顺义 顺义城 义宾南区,2020/4/12,BJ2497736609093386240,整租,2室1厅1卫,61㎡,#,林佳成,61㎡,南 北,10天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,需咨询,3100,3100,0,3100
房山 良乡 良乡西路甲7号,2020/4/13,BJ2497685906064932864,整租,2室1厅1卫,92㎡,#,王德玲,92㎡,南 北,9天前,随时入住,高楼层/6层,有,暂无数据,暂无数据,民电,有,集中供暖,暂无数据,需提前预约,需咨询,2600,2600,0,2600
东城 和平里 民旺园,2020/4/18,BJ2498330563854221312,整租,2室1厅1卫,41㎡,#,苏琪琪,41㎡,东 西,4天前,随时入住,中楼层/5层,无,暂无数据,民水,民电,有,自采暖,3年以内,需提前预约,季付,5500,5500,0,5500
顺义 顺义城 建新北区,2020/4/18,BJ2497906030563311616,整租,3室1厅1卫,49㎡,#,张晓敏,49㎡,南 北,4天前,随时入住,低楼层/5层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,需咨询,3000,3000,0,3000
丰台 和义 南苑北里二区,2020/4/21,BJ2497801880047468544,整租,1室1厅1卫,56㎡,#,袁萌,56㎡,东 南,1天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3200,3200,0,3200
石景山 古城 古城路小区,2020/4/20,BJ2498306826727333888,整租,1室1厅1卫,30㎡,#,刘琰,30㎡,南,2天前,随时入住,中楼层/4层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,3000,3000,0,3000
朝阳 管庄 京通苑,2020/4/22,BJ2497771262021992448,整租,1室1厅1卫,63㎡,精装修,葛宁宁,63㎡,东南,今天,随时入住,高楼层/24层,有,租用车位,民水,民电,有,集中供暖,3年以内,需提前预约,季付,4500,4500,0,4500
海淀 玉泉路 玉海园五里,2020/4/20,BJ2497606425556295680,整租,1室1厅1卫,45㎡,#,王涛,45㎡,南,2天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,3年以内,需提前预约,季付,4500,4500,0,4500
大兴 天宫院南 隆盛园,2020/4/16,BJ2494725969089675264,整租,2室1厅1卫,86㎡,精装修,李会,86㎡,南 北,6天前,随时入住,中楼层/5层,无,免费使用,民水,民电,有,集中供暖,3年以内,需提前预约,年付,2500,2500,0,2500
朝阳 首都机场 北平里,2020/4/18,BJ2494753480821456896,整租,3室1厅1卫,84㎡,#,赵越,84㎡,南 北,4天前,随时入住,中楼层/6层,无,免费使用,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,3100,3100,0,3100
门头沟 城子 三家店新河路,2020/4/19,BJ2495693516664217600,整租,2室1厅1卫,56㎡,#,,56㎡,南,3天前,随时入住,高楼层/5层,无,暂无数据,民水,民电,无,集中供暖,暂无数据,需提前预约,需咨询,2500,2500,0,2500
石景山 城子 天翠阳光新城,2020/4/15,BJ2494880024717426688,整租,1室1厅1卫,56㎡,#,王培强,56㎡,南 北,7天前,随时入住,高楼层/8层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,需提前预约,需咨询,3000,3000,0,3000
